井上压力（MPa）,注水流量（L/Min）,回水流量（L/Min）,注入量（L）,回流量（L）,,,,,,
0.113885219,0.010265724,-0.021938579,134.6551244,-51.17216538,,,,,,
-0.050356723,0.009460616,-0.009056858,134.6551323,-51.17217293,,,,,,
0.084901347,0.002214648,-0.009861965,134.6551341,-51.17218115,,,,,,
0.06074812,0.007850401,-0.017913041,134.6551407,-51.17219608,,,,,,
0.026933603,0.008655509,-0.017913041,134.6551479,-51.172211,,,,,,
-0.031034141,0.003824863,-0.019523256,134.6551511,-51.17222727,,,,,,
0.084901347,0.009460616,-0.017107933,134.655159,-51.17224153,,,,,,
0.080070701,0.005435078,-0.014692611,134.6551635,-51.17225377,,,,,,
0.055917475,-0.000200675,-0.021133471,134.6551633,-51.17227139,,,,,,
0.147699736,0.003824863,-0.017913041,134.6551665,-51.17228631,,,,,,
0.012441667,0.011875939,-0.020328363,134.6551764,-51.17230325,,,,,,
0.084901347,0.007045293,-0.021938579,134.6551823,-51.17232154,,,,,,
0.046256184,0.007850401,-0.018718148,134.6551888,-51.17233713,,,,,,
0.181514253,0.005435078,-0.017913041,134.6551934,-51.17235206,,,,,,
-0.006880915,0.009460616,-0.015497718,134.6552012,-51.17236498,,,,,,
0.075240056,0.002214648,-0.019523256,134.6552031,-51.17238125,,,,,,
-0.01171156,0.006240186,-0.020328363,134.6552083,-51.17239819,,,,,,
0.080070701,-0.001005782,-0.018718148,134.6552074,-51.17241378,,,,,,
0.065578765,0.005435078,-0.017913041,134.655212,-51.17242871,,,,,,
0.036594893,0.004629971,-0.019523256,134.6552158,-51.17244498,,,,,,
-0.016542205,0.007850401,-0.018718148,134.6552224,-51.17246058,,,,,,
-0.006880915,0.004629971,-0.017913041,134.6552262,-51.17247551,,,,,,
0.123546509,0.005435078,-0.020328363,134.6552308,-51.17249245,,,,,,
0.06074812,0.004629971,-0.012277288,134.6552346,-51.17250268,,,,,,
0.162191672,0.005435078,-0.012277288,134.6552391,-51.17251291,,,,,,
0.065578765,0.007850401,-0.018718148,134.6552457,-51.17252851,,,,,,
0.075240056,0.005435078,-0.014692611,134.6552502,-51.17254075,,,,,,
0.017272312,0.005435078,-0.014692611,134.6552547,-51.172553,,,,,,
0.017272312,0.003019756,-0.013082395,134.6552573,-51.1725639,,,,,,
0.031764248,2.348298068,-0.023548794,134.6572142,-51.17258352,,,,,,
-0.035864787,2.355544036,-0.017107933,134.6591771,-51.17259778,,,,,,
0.1332078,2.346687853,-0.009056858,134.6611327,-51.17260533,,,,,,
0.104223928,2.348298068,-0.017107933,134.6630896,-51.17261958,,,,,,
0.437538456,2.353933821,-0.019523256,134.6650512,-51.17263585,,,,,,
0.186344899,2.352323606,-0.017107933,134.6670115,-51.17265011,,,,,,
0.19600619,5.006763219,-0.021133471,134.6711838,-51.17266772,,,,,,
0.123546509,5.008373435,-0.021133471,134.6753575,-51.17268533,,,,,,
0.138038445,5.008373435,-0.013887503,134.6795311,-51.1726969,,,,,,
0.27812716,5.009178542,-0.020328363,134.6837054,-51.17271384,,,,,,
0.157361027,5.012398972,-0.020328363,134.6878824,-51.17273078,,,,,,
0.379570712,4.998712144,-0.024353901,134.692048,-51.17275108,,,,,,
0.167022317,5.020450048,-0.021133471,134.6962317,-51.17276869,,,,,,
0.19600619,5.010788757,-0.021133471,134.7004074,-51.1727863,,,,,,
0.181514253,10.78502015,-0.021133471,134.7093949,-51.17280391,,,,,,
0.316772323,10.78502015,-0.023548794,134.7183824,-51.17282354,,,,,,
0.176683608,10.78340994,-0.014692611,134.7273686,-51.17283578,,,,,,
0.19600619,10.78502015,-0.017913041,134.7363561,-51.17285071,,,,,,
0.167022317,10.78582526,-0.013887503,134.7453443,-51.17286228,,,,,,
0.26846587,10.78260483,-0.018718148,134.7543298,-51.17287788,,,,,,
0.157361027,10.31805777,-0.021133471,134.7629282,-51.17289549,,,,,,
0.321602968,10.31805777,-0.017913041,134.7715265,-51.17291042,,,,,,
0.20566748,10.30839648,-0.016302826,134.7801169,-51.172924,,,,,,
0.147699736,10.32369352,-0.018718148,134.78872,-51.1729396,,,,,,
0.234651352,10.31886288,-0.009861965,134.797319,-51.17294782,,,,,,
0.26846587,10.31725266,-0.023548794,134.8059167,-51.17296744,,,,,,
0.234651352,10.15864647,-0.009056858,134.8143823,-51.17297499,,,,,,
0.210498126,10.16750266,-0.006641535,134.8228552,-51.17298053,,,,,,
0.191175544,10.16428223,-0.01147218,134.8313254,-51.17299009,,,,,,
0.244312643,10.1610618,-0.014692611,134.839793,-51.17300233,,,,,,
0.244312643,10.16347712,-0.015497718,134.8482625,-51.17301525,,,,,,
0.234651352,10.16428223,-0.017913041,134.8567328,-51.17303017,,,,,,
0.176683608,10.00970158,-0.018718148,134.8650742,-51.17304577,,,,,,
0.234651352,10.00567604,-0.027574331,134.8734122,-51.17306875,,,,,,
0.249143288,10.01775265,-0.020328363,134.8817604,-51.17308569,,,,,,
0.220159416,10.00889647,-0.030794762,134.8901011,-51.17311135,,,,,,
0.253973934,10.01050668,-0.023548794,134.8984432,-51.17313098,,,,,,
0.249143288,10.01131179,-0.014692611,134.906786,-51.17314322,,,,,,
0.398893294,9.699735166,-0.018718148,134.9148691,-51.17315882,,,,,,
0.215328771,9.699735166,-0.01147218,134.9229522,-51.17316838,,,,,,
0.20566748,9.693294306,-0.019523256,134.9310299,-51.17318465,,,,,,
0.27812716,9.702955597,-0.013887503,134.9391157,-51.17319622,,,,,,
0.234651352,9.698930059,-0.017107933,134.9471982,-51.17321048,,,,,,
0.27812716,9.694904521,-0.021938579,134.9552773,-51.17322876,,,,,,
0.244312643,9.851095387,-0.020328363,134.9634865,-51.1732457,,,,,,
0.355417486,9.851900495,-0.013887503,134.9716964,-51.17325727,,,,,,
0.215328771,9.848680064,-0.019523256,134.9799037,-51.17327354,,,,,,
0.321602968,9.852705602,-0.018718148,134.9881142,-51.17328914,,,,,,
0.287788451,9.851900495,-0.015497718,134.9963242,-51.17330206,,,,,,
0.215328771,9.854315817,-0.015497718,135.0045361,-51.17331497,,,,,,
0.311941678,10.01292201,-0.017913041,135.0128802,-51.1733299,,,,,,
0.287788451,10.01131179,-0.020328363,135.021223,-51.17334684,,,,,,
0.437538456,10.00889647,-0.014692611,135.0295637,-51.17335908,,,,,,
0.234651352,10.01050668,-0.017913041,135.0379058,-51.17337401,,,,,,
0.307111032,10.01533733,-0.026769224,135.0462519,-51.17339632,,,,,,
0.210498126,10.00889647,-0.009056858,135.0545927,-51.17340387,,,,,,
0.26846587,10.00809136,-0.006641535,135.0629327,-51.1734094,,,,,,
0.27812716,10.01292201,-0.019523256,135.0712768,-51.17342567,,,,,,
0.273296515,10.00889647,-0.018718148,135.0796176,-51.17344127,,,,,,
0.282957806,10.01292201,-0.014692611,135.0879617,-51.17345351,,,,,,
0.302280387,10.01050668,-0.017913041,135.0963038,-51.17346844,,,,,,
0.27812716,10.01292201,-0.021938579,135.1046479,-51.17348672,,,,,,
0.384401358,8.760174648,-0.021938579,135.111948,-51.173505,,,,,,
0.292619096,8.753733787,-0.017913041,135.1192428,-51.17351993,,,,,,
0.408554584,8.767420616,-0.021938579,135.126549,-51.17353821,,,,,,
0.287788451,8.746487819,-0.020328363,135.1338377,-51.17355515,,,,,,
0.311941678,8.769835939,-0.018718148,135.1411459,-51.17357075,,,,,,
0.360248131,8.75936954,-0.021938579,135.1484454,-51.17358903,,,,,,
0.345756195,8.760979755,-0.020328363,135.1557462,-51.17360597,,,,,,
0.27812716,8.758564433,-0.023548794,135.163045,-51.1736256,,,,,,
0.398893294,9.066920627,-0.015497718,135.1706008,-51.17363851,,,,,,
